,id,name,start_timestamp,sport,league,teams,scores
766,,Minnesota Timberwolves - Milwaukee Bucks,2016-12-31 01:00:00+00:00,basketball,NBA,"['Minnesota Timberwolves', 'Milwaukee Bucks']","{'Minnesota Timberwolves': 116, 'Milwaukee Bucks': 99}"
767,,New Orleans Pelicans - New York Knicks,2016-12-31 01:00:00+00:00,basketball,NBA,"['New Orleans Pelicans', 'New York Knicks']","{'New Orleans Pelicans': 104, 'New York Knicks': 92}"
768,,Boston Celtics - Miami Heat,2016-12-31 00:30:00+00:00,basketball,NBA,"['Boston Celtics', 'Miami Heat']","{'Boston Celtics': 117, 'Miami Heat': 114}"
769,,Washington Wizards - Brooklyn Nets,2016-12-31 00:00:00+00:00,basketball,NBA,"['Washington Wizards', 'Brooklyn Nets']","{'Washington Wizards': 118, 'Brooklyn Nets': 95}"
770,,Indiana Pacers - Chicago Bulls,2016-12-30 21:00:00+00:00,basketball,NBA,"['Indiana Pacers', 'Chicago Bulls']","{'Indiana Pacers': 111, 'Chicago Bulls': 101}"
771,,Los Angeles Lakers - Dallas Mavericks,2016-12-30 03:30:00+00:00,basketball,NBA,"['Los Angeles Lakers', 'Dallas Mavericks']","{'Los Angeles Lakers': 89, 'Dallas Mavericks': 101}"
772,,Phoenix Suns - Toronto Raptors,2016-12-30 02:00:00+00:00,basketball,NBA,"['Phoenix Suns', 'Toronto Raptors']","{'Phoenix Suns': 99, 'Toronto Raptors': 91}"
773,,Utah Jazz - Philadelphia 76ers,2016-12-30 02:00:00+00:00,basketball,NBA,"['Utah Jazz', 'Philadelphia 76ers']","{'Utah Jazz': 100, 'Philadelphia 76ers': 83}"
774,,Cleveland Cavaliers - Boston Celtics,2016-12-30 01:00:00+00:00,basketball,NBA,"['Cleveland Cavaliers', 'Boston Celtics']","{'Cleveland Cavaliers': 124, 'Boston Celtics': 118}"
775,,Memphis Grizzlies - Oklahoma City Thunder,2016-12-30 01:00:00+00:00,basketball,NBA,"['Memphis Grizzlies', 'Oklahoma City Thunder']","{'Memphis Grizzlies': 114, 'Oklahoma City Thunder': 80}"
776,,Charlotte Hornets - Miami Heat,2016-12-30 00:00:00+00:00,basketball,NBA,"['Charlotte Hornets', 'Miami Heat']","{'Charlotte Hornets': 91, 'Miami Heat': 82}"
777,,Golden State Warriors - Toronto Raptors,2016-12-29 03:30:00+00:00,basketball,NBA,"['Golden State Warriors', 'Toronto Raptors']","{'Golden State Warriors': 121, 'Toronto Raptors': 111}"
778,,Portland Trail Blazers - Sacramento Kings,2016-12-29 03:00:00+00:00,basketball,NBA,"['Portland Trail Blazers', 'Sacramento Kings']","{'Portland Trail Blazers': 102, 'Sacramento Kings': 89}"
